Site,Disturbance,Exclosure,Date,hits_Total,hits_C4,hits_C3,hits_Brome,hits_VUOC,hits_AnnForb,hits_PerForb,hits_Forb,hits_Subshrub,hits_SD,hits_Herb,weight_Total,weight_C4,weight_C3,weight_Brome,weight_Forb,weight_AnnForb,weight_PerForb,weight_VUOC,weight_Subshrub,weight_SD,weight_Herb,Year
west fork,control,out,2019-08-07,14,1,12,0,0,1,0,1,0,0,14,291.0,5.933333333333334,38.766666666666666,0.16666666666666666,0.0,1.1666666666666667,0.0,0.0,7.6000000000000005,23.733333333333334,267.26666666666665,2019
west fork,control,out,2020-08-05,15,0,8,1,0,0,0,0,0,6,15,112.5144,0.0,51.4,6.76,0.0,0.54,0.0,0.0744,0.76,48.28,64.2344,2020
west fork,control,ungulate ex,2017-07-19,22,15,7,0,0,0,0,0,0,0,22,146.12666666666667,4.686666666666667,26.866666666666664,2.1266666666666665,0.3000000000000001,0.0,0.0,0.020000000000000167,0.0,0.0,146.12666666666667,2017
west fork,control,ungulate ex,2018-08-01,20,2,8,0,0,0,0,0,0,0,10,198.71333333333337,3.733333333333333,17.166666666666668,0.06,0.41333333333333333,0.0,0.0,0.006666666666666667,14.700000000000001,4.7,194.01333333333338,2018
west fork,control,ungulate ex,2019-08-07,27,0,0,1,0,0,3,3,3,5,12,164.14000000000001,2.066666666666667,0.0,0.0,0.0,0.0,1.0,0.006666666666666667,0.0,7.0,157.14000000000001,2019
west fork,control,ungulate ex,2020-08-05,10,3,2,2,0,0,0,0,1,2,10,121.57640000000002,0.0,24.44,11.22,0.0,0.0,0.6,0.3164,22.1,58.2,63.37640000000002,2020
west fork,fire,livestock ex,2017-07-19,19,0,19,0,0,0,0,0,0,0,19,160.33333333333334,4.426666666666667,38.63333333333333,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,160.33333333333334,2017
west fork,fire,livestock ex,2018-08-01,10,0,7,0,0,0,3,3,0,0,10,281.4266666666667,0.48,35.74666666666666,0.0,32.74666666666666,0.0,0.0,0.0,0.62,9.02,272.4066666666667,2018
west fork,fire,livestock ex,2019-08-07,23,0,20,0,0,1,2,3,0,0,23,206.13333333333333,0.0,51.26666666666667,0.09999999999999999,0.0,1.2,2.3000000000000003,0.0,0.0,11.366666666666667,194.76666666666665,2019
west fork,fire,livestock ex,2020-08-05,24,2,17,5,0,0,0,0,0,0,24,155.27999999999997,0.0,78.8,3.18,0.0,0.1,0.96,0.0,0.0,70.1,85.17999999999998,2020
west fork,fire,out,2017-07-19,17,0,13,0,0,0,4,4,0,0,17,178.26666666666665,3.5,31.593333333333334,0.38000000000000017,3.753333333333334,0.0,0.0,0.0,0.0,0.0,178.26666666666665,2017
west fork,fire,out,2018-08-01,24,11,9,4,0,0,0,0,0,0,24,178.11333333333332,2.473333333333333,47.46,6.66,4.88,0.0,0.0,0.0,0.0,14.299999999999999,163.8133333333333,2018
west fork,fire,out,2019-08-07,13,0,9,0,0,0,0,0,4,0,13,204.03333333333333,0.7333333333333334,28.166666666666668,2.1666666666666665,0.0,0.3,0.4666666666666666,0.0,1.8333333333333333,8.766666666666667,195.26666666666665,2019
west fork,fire,out,2020-08-05,12,3,7,0,0,1,0,1,0,1,12,76.82000000000001,0.0,44.14,0.0,0.0,0.94,4.42,0.0,3.12,15.3,61.52000000000001,2020
west fork,fire,ungulate ex,2017-07-19,20,0,15,2,0,0,3,3,0,0,20,235.81333333333336,0.15333333333333243,51.85333333333333,1.9533333333333331,5.346666666666665,0.0,0.0,0.0,0.0,0.0,235.81333333333336,2017
west fork,fire,ungulate ex,2018-08-01,26,4,10,6,0,1,2,3,0,3,26,278.41333333333336,8.213333333333333,45.57333333333333,3.6999999999999997,7.333333333333333,0.0,0.0,0.0,0.0,10.026666666666666,268.3866666666667,2018
west fork,fire,ungulate ex,2019-08-07,51,0,19,30,0,0,2,2,0,0,51,234.6866666666667,3.1666666666666665,50.300000000000004,20.633333333333333,0.0,11.6,2.1999999999999997,0.0,0.0,2.9333333333333336,231.75333333333336,2019
west fork,fire,ungulate ex,2020-08-05,24,1,1,8,0,0,1,1,0,5,16,73.67999999999999,0.26,17.46,18.28,0.0,0.1,5.0,0.0,0.0,27.28,46.39999999999999,2020
west fork,prairie dog,livestock ex,2017-07-19,9,0,9,0,0,0,0,0,0,0,9,100.78666666666668,0.0,28.22,0.0,0.2133333333333335,0.0,0.0,0.0,0.0,0.0,100.78666666666668,2017
west fork,prairie dog,livestock ex,2018-08-01,18,2,10,0,0,2,4,6,0,0,18,187.74666666666667,0.29333333333333333,34.45333333333333,0.16666666666666666,8.653333333333334,0.0,0.0,0.0,0.0,0.9733333333333333,186.77333333333334,2018
west fork,prairie dog,livestock ex,2019-08-07,24,0,13,0,0,5,0,5,0,6,24,243.66666666666666,0.0,0.0,0.0,0.0,13.733333333333334,0.0,0.0,0.0,5.066666666666666,238.6,2019
west fork,prairie dog,livestock ex,2020-08-05,22,0,6,0,0,2,0,2,0,14,22,145.06,0.0,56.86,0.0,0.0,5.9,0.5,0.0,0.0,81.8,63.260000000000005,2020
west fork,prairie dog,out,2017-07-19,21,1,17,0,0,3,0,3,0,0,21,120.68666666666667,0.14888888888888888,7.408888888888888,0.0,2.462222222222222,0.0,0.0,0.0022222222222222244,0.0,0.0,120.68666666666667,2017
west fork,prairie dog,out,2018-08-01,17,10,4,0,0,3,0,3,0,0,17,232.36,1.9733333333333334,32.20666666666667,0.0,15.56,0.0,0.0,0.0,0.03333333333333333,0.4266666666666667,231.93333333333334,2018
west fork,prairie dog,out,2019-08-07,26,0,15,0,0,8,1,9,0,2,26,285.6,0.0,50.1,0.0,0.0,14.133333333333333,2.6,0.13333333333333333,0.0,2.3666666666666667,283.23333333333335,2019
west fork,prairie dog,out,2020-08-05,13,0,4,0,0,0,0,0,0,9,13,114.22,0.0,33.5,0.0,0.0,0.1,0.7,0.0,0.9,79.02,35.2,2020
