Site,Disturbance,Exclosure,Date,FG,Year,Total Hits,hits,weight
lake creek,prairie dog,ungulate ex,2017-07-25,C4,2017,11,7,11.719999999999999
lake creek,prairie dog,ungulate ex,2017-07-25,Forb,2017,11,4,85.18
lake creek,prairie dog,ungulate ex,2017-07-25,SD,2017,11,0,0.0
lake creek,prairie dog,ungulate ex,2017-07-25,Subshrub,2017,11,0,0.0
lake creek,prairie dog,ungulate ex,2017-07-25,Total,2017,11,11,135.9
lake creek,prairie dog,ungulate ex,2017-07-25,VUOC,2017,11,0,19.58
lake creek,prairie dog,ungulate ex,2018-07-30,AnnGrass,2018,34,0,0.54
lake creek,prairie dog,ungulate ex,2018-07-30,Brome,2018,34,0,0.06
lake creek,prairie dog,ungulate ex,2018-07-30,C3,2018,34,0,0.88
lake creek,prairie dog,ungulate ex,2018-07-30,C4,2018,34,11,32.18
lake creek,prairie dog,ungulate ex,2018-07-30,Forb,2018,34,23,106.02
lake creek,prairie dog,ungulate ex,2018-07-30,SD,2018,34,0,0.24
lake creek,prairie dog,ungulate ex,2018-07-30,Subshrub,2018,34,0,0.0
lake creek,prairie dog,ungulate ex,2018-07-30,Total,2018,34,34,139.85999999999999
lake creek,prairie dog,ungulate ex,2018-07-30,VUOC,2018,34,0,0.48
lake creek,prairie dog,ungulate ex,2019-07-31,AnnGrass,2019,30,1,18.6
lake creek,prairie dog,ungulate ex,2019-07-31,Brome,2019,30,0,0.8
lake creek,prairie dog,ungulate ex,2019-07-31,C3,2019,30,0,2.9
lake creek,prairie dog,ungulate ex,2019-07-31,C4,2019,30,24,91.7
lake creek,prairie dog,ungulate ex,2019-07-31,Forb,2019,30,5,90.3
lake creek,prairie dog,ungulate ex,2019-07-31,SD,2019,30,0,2.0
lake creek,prairie dog,ungulate ex,2019-07-31,Subshrub,2019,30,0,0.0
lake creek,prairie dog,ungulate ex,2019-07-31,Total,2019,30,30,205.5
lake creek,prairie dog,ungulate ex,2019-07-31,VUOC,2019,30,1,17.8
lake creek,prairie dog,ungulate ex,2020-08-03,AnnGrass,2020,28,2,1.4200000000000002
lake creek,prairie dog,ungulate ex,2020-08-03,Brome,2020,28,2,1.34
lake creek,prairie dog,ungulate ex,2020-08-03,C3,2020,28,1,0.8
lake creek,prairie dog,ungulate ex,2020-08-03,C4,2020,28,4,32.12
lake creek,prairie dog,ungulate ex,2020-08-03,Forb,2020,28,8,39.9
lake creek,prairie dog,ungulate ex,2020-08-03,SD,2020,28,13,28.3
lake creek,prairie dog,ungulate ex,2020-08-03,Subshrub,2020,28,0,0.0
lake creek,prairie dog,ungulate ex,2020-08-03,Total,2020,28,28,102.53999999999999
lake creek,prairie dog,ungulate ex,2020-08-03,VUOC,2020,28,0,0.08
steckley,control,livestock ex,2017-07-17,AnnGrass,2017,29,1,3.9400000000000013
steckley,control,livestock ex,2017-07-17,Brome,2017,29,1,3.9400000000000013
steckley,control,livestock ex,2017-07-17,C3,2017,29,10,72.25999999999999
steckley,control,livestock ex,2017-07-17,C4,2017,29,0,0.0
steckley,control,livestock ex,2017-07-17,Forb,2017,29,0,0.22000000000000064
steckley,control,livestock ex,2017-07-17,SD,2017,29,0,0.0
steckley,control,livestock ex,2017-07-17,Subshrub,2017,29,0,0.0
steckley,control,livestock ex,2017-07-17,Total,2017,29,11,76.41999999999999
steckley,control,livestock ex,2017-07-17,VUOC,2017,29,0,0.0
steckley,control,livestock ex,2018-07-31,AnnGrass,2018,21,3,22.62
steckley,control,livestock ex,2018-07-31,Brome,2018,21,3,22.62
steckley,control,livestock ex,2018-07-31,C3,2018,21,13,125.3
steckley,control,livestock ex,2018-07-31,C4,2018,21,0,0.0
steckley,control,livestock ex,2018-07-31,Forb,2018,21,1,2.54
steckley,control,livestock ex,2018-07-31,SD,2018,21,4,9.44
steckley,control,livestock ex,2018-07-31,Subshrub,2018,21,0,0.0
steckley,control,livestock ex,2018-07-31,Total,2018,21,21,159.89999999999998
steckley,control,livestock ex,2018-07-31,VUOC,2018,21,0,0.0
steckley,control,livestock ex,2019-07-29,AnnGrass,2019,34,15,126.1
steckley,control,livestock ex,2019-07-29,Brome,2019,34,15,126.1
steckley,control,livestock ex,2019-07-29,C3,2019,34,19,134.4
steckley,control,livestock ex,2019-07-29,C4,2019,34,0,0.2
steckley,control,livestock ex,2019-07-29,Forb,2019,34,0,3.8200000000000003
steckley,control,livestock ex,2019-07-29,SD,2019,34,0,12.6
steckley,control,livestock ex,2019-07-29,Subshrub,2019,34,0,0.0
steckley,control,livestock ex,2019-07-29,Total,2019,34,34,277.12
steckley,control,livestock ex,2019-07-29,VUOC,2019,34,0,0.0
steckley,control,livestock ex,2020-08-10,AnnGrass,2020,21,2,6.08
steckley,control,livestock ex,2020-08-10,Brome,2020,21,2,6.08
steckley,control,livestock ex,2020-08-10,C3,2020,21,19,30.42
steckley,control,livestock ex,2020-08-10,C4,2020,21,0,0.1
steckley,control,livestock ex,2020-08-10,Forb,2020,21,0,0.24
steckley,control,livestock ex,2020-08-10,SD,2020,21,0,32.56
steckley,control,livestock ex,2020-08-10,Subshrub,2020,21,0,0.0
steckley,control,livestock ex,2020-08-10,Total,2020,21,21,69.4
steckley,control,livestock ex,2020-08-10,VUOC,2020,21,0,0.0
steckley,control,out,2017-07-17,AnnGrass,2017,17,7,8.379999999999999
steckley,control,out,2017-07-17,Brome,2017,17,7,8.379999999999999
steckley,control,out,2017-07-17,C3,2017,17,10,78.12
steckley,control,out,2017-07-17,C4,2017,17,0,0.0
steckley,control,out,2017-07-17,Forb,2017,17,0,0.52
steckley,control,out,2017-07-17,SD,2017,17,0,0.0
steckley,control,out,2017-07-17,Subshrub,2017,17,0,0.0
steckley,control,out,2017-07-17,Total,2017,17,17,87.02
steckley,control,out,2017-07-17,VUOC,2017,17,0,0.0
steckley,control,out,2018-07-31,AnnGrass,2018,43,17,62.42
steckley,control,out,2018-07-31,Brome,2018,43,17,62.42
steckley,control,out,2018-07-31,C3,2018,43,12,96.5
steckley,control,out,2018-07-31,C4,2018,43,13,31.16
steckley,control,out,2018-07-31,Forb,2018,43,0,3.52
steckley,control,out,2018-07-31,SD,2018,43,0,20.54
steckley,control,out,2018-07-31,Subshrub,2018,43,0,0.0
steckley,control,out,2018-07-31,Total,2018,43,42,214.14
steckley,control,out,2018-07-31,VUOC,2018,43,0,0.0
steckley,control,out,2019-07-29,AnnGrass,2019,75,40,132.5
steckley,control,out,2019-07-29,Brome,2019,75,40,132.5
steckley,control,out,2019-07-29,C3,2019,75,25,221.1
steckley,control,out,2019-07-29,C4,2019,75,0,1.3
steckley,control,out,2019-07-29,Forb,2019,75,1,7.6000000000000005
steckley,control,out,2019-07-29,SD,2019,75,9,0.9
