,model,kfold,numb_vars,formula,R2,R2_adj,AIC,rmse_kg,pe,rmse_pct,rmse_orig,rmse_orig_pct,rmse_kg_low,rmse_pct_low,pe_low,mae_kg,mae_pct,mae_orig
2,projyear,3,2,bm ~ ndvi + bai_126 + ndvi:bai_126,0.4693,,43911.0807,567.7891,30.7624,0.6708,,,402.4512,1.2504,56.6945,412.789,0.4877,
3,projyear,4,2,bm ~ ndvi + bai_126 + ndvi:bai_126,0.4693,,43911.0807,599.8357,38.2038,0.7086,,,408.3401,1.431,73.7679,438.5411,0.5181,
4,projyear,5,2,bm ~ ndvi + bai_126 + ndvi:bai_126,0.4693,,43911.0807,624.2712,32.9913,0.7375,,,432.4951,1.4291,59.8189,440.4118,0.5203,
0,projyear,1,2,bm ~ ndvi + bai_246 + ndvi:bai_246,0.4492,,43975.8001,548.8454,36.5493,0.6484,,,414.3776,1.3937,71.4487,415.3137,0.4906,
1,projyear,2,2,bm ~ ndvi + bai_246 + ndvi:bai_246,0.4492,,43975.8001,685.2279,25.3251,0.8095,,,409.6633,1.3509,48.9773,473.6598,0.5596,
2,projyear,3,2,bm ~ ndvi + bai_246 + ndvi:bai_246,0.4492,,43975.8001,578.545,31.4031,0.6835,,,406.625,1.2633,57.8804,422.6207,0.4993,
3,projyear,4,2,bm ~ ndvi + bai_246 + ndvi:bai_246,0.4492,,43975.8001,605.5323,40.1198,0.7154,,,410.0209,1.4369,77.4663,445.4994,0.5263,
4,projyear,5,2,bm ~ ndvi + bai_246 + ndvi:bai_246,0.4492,,43975.8001,629.8455,35.1819,0.7441,,,435.1835,1.438,63.7776,447.7677,0.529,
0,projyear,1,2,bm ~ ndti + ndii7 + ndti:ndii7,0.4692,,43911.4824,558.6466,29.4213,0.66,,,414.1271,1.3928,57.5233,414.5641,0.4897,
1,projyear,2,2,bm ~ ndti + ndii7 + ndti:ndii7,0.4692,,43911.4824,663.6941,19.8041,0.7841,,,413.4906,1.3636,38.3115,455.5931,0.5382,
2,projyear,3,2,bm ~ ndti + ndii7 + ndti:ndii7,0.4692,,43911.4824,597.8184,23.2526,0.7062,,,413.1513,1.2836,42.8713,429.8944,0.5079,
3,projyear,4,2,bm ~ ndti + ndii7 + ndti:ndii7,0.4692,,43911.4824,588.311,28.8846,0.695,,,399.9048,1.4014,55.8015,429.8983,0.5079,
4,projyear,5,2,bm ~ ndti + ndii7 + ndti:ndii7,0.4692,,43911.4824,608.6079,25.6027,0.719,,,426.5699,1.4095,46.4337,434.3928,0.5132,
0,projyear,1,2,bm ~ ndti + nir + ndti:nir,0.4753,,43891.5244,533.6928,26.4795,0.6305,,,404.2035,1.3595,51.7664,389.5429,0.4602,
1,projyear,2,2,bm ~ ndti + nir + ndti:nir,0.4753,,43891.5244,679.2207,17.0145,0.8024,,,427.8406,1.4109,32.9394,463.3614,0.5474,
2,projyear,3,2,bm ~ ndti + nir + ndti:nir,0.4753,,43891.5244,579.2195,22.1732,0.6843,,,382.458,1.1882,40.8816,402.8948,0.476,
3,projyear,4,2,bm ~ ndti + nir + ndti:nir,0.4753,,43891.5244,600.1863,27.934,0.709,,,398.3287,1.3959,53.9574,429.7935,0.5077,
4,projyear,5,2,bm ~ ndti + nir + ndti:nir,0.4753,,43891.5244,609.6625,21.6155,0.7202,,,393.3773,1.2998,39.2042,416.5486,0.4921,
0,projyear,1,2,bm ~ ndti + bai_126 + ndti:bai_126,0.4415,,44000.2034,548.2177,33.2401,0.6476,,,412.6411,1.3879,64.9824,405.7898,0.4794,
1,projyear,2,2,bm ~ ndti + bai_126 + ndti:bai_126,0.4415,,44000.2034,684.7237,23.4805,0.8089,,,425.061,1.4017,45.4259,475.0597,0.5612,
2,projyear,3,2,bm ~ ndti + bai_126 + ndti:bai_126,0.4415,,44000.2034,593.4533,28.9432,0.7011,,,393.1938,1.2216,53.3477,421.12,0.4975,
3,projyear,4,2,bm ~ ndti + bai_126 + ndti:bai_126,0.4415,,44000.2034,609.5027,35.9548,0.72,,,408.434,1.4313,69.4416,442.5211,0.5228,
4,projyear,5,2,bm ~ ndti + bai_126 + ndti:bai_126,0.4415,,44000.2034,626.1932,30.611,0.7398,,,411.6995,1.3604,55.5053,441.4614,0.5215,
0,projyear,1,2,bm ~ ndti + bai_136 + ndti:bai_136,0.4842,,43862.7125,535.1236,25.7666,0.6322,,,398.9367,1.3418,50.3661,386.9675,0.4571,
1,projyear,2,2,bm ~ ndti + bai_136 + ndti:bai_136,0.4842,,43862.7125,674.0596,16.5093,0.7963,,,416.7509,1.3743,31.9608,454.4288,0.5368,
2,projyear,3,2,bm ~ ndti + bai_136 + ndti:bai_136,0.4842,,43862.7125,578.7091,21.8593,0.6837,,,387.4616,1.2038,40.2969,406.5239,0.4803,
3,projyear,4,2,bm ~ ndti + bai_136 + ndti:bai_136,0.4842,,43862.7125,591.766,26.5696,0.6991,,,394.3058,1.3818,51.3226,425.3047,0.5024,
4,projyear,5,2,bm ~ ndti + bai_136 + ndti:bai_136,0.4842,,43862.7125,607.6486,21.9948,0.7179,,,409.0,1.3514,39.8897,421.0558,0.4974,
