ID,Date,Project,gps_E,gps_N,Method,bm_gm2
E39.3,2019-06-16,BIRD,495038.0,4810939.0,vor,68.47464741489651
E39.4,2015-06-30,BIRD,495200.0,4810749.0,vor,68.35476055649376
E39.4,2016-07-20,BIRD,495200.0,4810749.0,vor,41.306721318129995
E39.4,2017-07-05,BIRD,495200.0,4810749.0,vor,67.53393509889023
E39.4,2017-08-03,PDOG,495189.45,4810728.67,clip,53.764500000000005
E39.4,2018-07-01,BIRD,495200.0,4810749.0,vor,150.22329953515063
E39.4,2018-07-13,PDOG,495201.0,4810726.0,clip,133.00799999999998
E39.4,2019-06-19,BIRD,495200.0,4810749.0,vor,111.4136561517845
E39.4,2019-07-16,PDOG,495156.0,4810705.0,clip,140.938
E39.4,2019-07-17,PDOG,495163.0,4810711.0,clip,181.876
E39.4,2021-07-14,PDOG,495174.0,4810719.0,clip,94.931
E39.4,2022-07-14,PDOG,495192.71,4810717.95,clip,82.231
E39.4,2023-04-26,PDOG,495197.0,4810720.0,vor,57.08109588592982
E39.4,2023-07-24,PDOG,495185.95,4810731.48,vor,296.07890050427875
E39.4,2024-07-18,PDOG,495185.1,4810725.95,vor,258.22258239671396
E39.5,2015-06-30,BIRD,495362.0,4810558.0,vor,107.47654302027956
E39.5,2016-07-20,BIRD,495362.0,4810558.0,vor,76.43473258050108
E39.5,2017-07-05,BIRD,495362.0,4810558.0,vor,77.72938012753254
E39.5,2018-07-01,BIRD,495362.0,4810558.0,vor,242.6802973376968
E39.5,2019-06-16,BIRD,495362.0,4810558.0,vor,114.02665276954275
E39.6,2015-06-30,BIRD,495524.0,4810368.0,vor,129.92422405018505
E39.6,2016-07-20,BIRD,495524.0,4810368.0,vor,55.7089527613582
E39.6,2017-07-05,BIRD,495524.0,4810368.0,vor,56.10756250204436
E39.6,2017-08-03,PDOG,495511.66,4810350.26,clip,51.8586
E39.6,2018-07-01,BIRD,495524.0,4810368.0,vor,133.01003002281487
E39.6,2018-07-13,PDOG,495526.0,4810350.0,clip,248.286
E39.6,2019-06-16,BIRD,495524.0,4810368.0,vor,71.33967232139845
E39.6,2019-07-17,PDOG,495527.0,4810362.0,clip,203.711
E39.6,2021-07-14,PDOG,495524.72,4810384.23,clip,68.71600000000001
E39.6,2023-04-26,PDOG,495522.0,4810359.0,vor,17.072026158816346
E39.6,2023-07-24,PDOG,495525.24,4810356.8,vor,192.7004389434852
E39.6,2024-07-18,PDOG,495520.95,4810353.48,vor,135.9855708071789
E39.7,2015-06-30,BIRD,495686.0,4810177.0,vor,84.78497134760784
E39.7,2016-07-20,BIRD,495686.0,4810177.0,vor,30.93643800335969
E39.7,2017-07-05,BIRD,495686.0,4810177.0,vor,35.34083424080693
E39.7,2018-07-01,BIRD,495686.0,4810177.0,vor,37.885842985573326
E39.8,2015-06-30,BIRD,495848.0,4809987.0,vor,122.4495532863572
E39.8,2016-07-20,BIRD,495848.0,4809987.0,vor,50.330638134804346
E39.8,2017-07-05,BIRD,495848.0,4809987.0,vor,46.4278492819724
E39.8,2018-07-01,BIRD,495848.0,4809987.0,vor,129.59682395761234
E45.1,2015-08-17,BIRD,486172.0,4812067.0,vor,47.311165969062976
E45.1,2016-07-27,BIRD,486172.0,4812067.0,vor,10.331134720996362
E45.1,2017-07-01,BIRD,486172.0,4812067.0,vor,51.34544190035944
E45.1,2018-06-19,BIRD,486172.0,4812067.0,vor,110.5254289548267
E45.2,2015-08-13,BIRD,485987.0,4811899.0,vor,20.985337228785276
E45.2,2016-07-27,BIRD,485987.0,4811899.0,vor,13.0616919674503
E45.2,2017-07-01,BIRD,485987.0,4811899.0,vor,26.15963674114373
E45.2,2018-06-19,BIRD,485987.0,4811899.0,vor,73.24993773293872
E45.3,2015-08-17,BIRD,485802.0,4811732.0,vor,21.140188906151934
E45.3,2016-07-27,BIRD,485802.0,4811732.0,vor,14.891343967718685
E45.3,2017-07-01,BIRD,485802.0,4811732.0,vor,21.60092598899045
E45.3,2018-06-19,BIRD,485802.0,4811732.0,vor,30.427761102835188
E45.4,2015-08-13,BIRD,485616.0,4811564.0,vor,135.0645356888694
E45.4,2016-07-27,BIRD,485616.0,4811564.0,vor,59.796786903245525
E45.4,2017-07-01,BIRD,485616.0,4811564.0,vor,156.93771474041836
E45.4,2018-06-19,BIRD,485616.0,4811564.0,vor,150.22329953515063
E45.5,2015-08-17,BIRD,485431.0,4811396.0,vor,127.02609546671741
