,model,numb_vars,formula,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,projyear,3,np.log(bm) ~ dfi + ndvi + satvi + dfi:ndvi + dfi:satvi + ndvi:satvi + I(dfi**2) + I(ndvi**2) + I(satvi**2),0.5466,0.5447,7745.4893,601.8929,27.5535,5.2138,0.8058,0.0369,0.868,,7.2889,0.9869,0.021,1.4194,0.045,0.2499,0.0079,313.6093,1.1423,9.2249,387.9593,396.5254,0.5194,0.0098,0.5309
0,projyear,3,np.log(bm) ~ dfi + ndvi + nir + dfi:ndvi + dfi:nir + ndvi:nir + I(dfi**2) + I(ndvi**2) + I(nir**2),0.5495,0.5476,7731.1809,594.5878,36.1924,5.3701,0.7961,0.0485,0.8671,,5.6012,0.9693,0.0204,1.4149,0.0402,0.2492,0.0071,299.4003,1.0906,9.4864,373.4982,380.6128,0.5001,0.0075,0.5096
0,projyear,3,np.log(bm) ~ dfi + ndvi + bai_126 + dfi:ndvi + dfi:bai_126 + ndvi:bai_126 + I(dfi**2) + I(ndvi**2) + I(bai_126**2),0.5508,0.549,7724.7029,600.6369,38.0084,5.3524,0.8042,0.0509,0.8852,,7.3136,0.9723,0.02,1.4129,0.0446,0.2488,0.0079,304.2485,1.1084,9.4648,378.1831,390.1914,0.5063,0.0098,0.5224
0,projyear,3,np.log(bm) ~ dfi + ndvi + bai_246 + dfi:ndvi + dfi:bai_246 + ndvi:bai_246 + I(dfi**2) + I(ndvi**2) + I(bai_246**2),0.5461,0.5442,7747.6172,601.301,35.9131,5.4056,0.805,0.0481,0.8774,,5.512,0.9769,0.0213,1.4202,0.0422,0.2501,0.0074,301.5595,1.0985,9.5552,379.2736,386.2088,0.5078,0.0074,0.5171
0,projyear,3,np.log(bm) ~ dfi + ndti + ndii7 + dfi:ndti + dfi:ndii7 + ndti:ndii7 + I(dfi**2) + I(ndti**2) + I(ndii7**2),0.5223,0.5203,7859.4064,640.7771,25.1064,5.2869,0.8579,0.0336,0.9112,,10.7244,1.0273,0.0297,1.4582,0.0553,0.2568,0.0097,347.9535,1.2678,9.308,410.1802,425.0278,0.5492,0.0144,0.569
0,projyear,3,np.log(bm) ~ dfi + ndti + nir + dfi:ndti + dfi:nir + ndti:nir + I(dfi**2) + I(ndti**2) + I(nir**2),0.5263,0.5243,7841.0864,641.1617,23.4911,5.3402,0.8584,0.0315,0.8975,,8.8081,1.0175,0.0262,1.4526,0.0433,0.2558,0.0076,366.3414,1.3335,9.3966,399.3133,412.8151,0.5346,0.0118,0.5527
0,projyear,3,np.log(bm) ~ dfi + ndti + bai_126 + dfi:ndti + dfi:bai_126 + ndti:bai_126 + I(dfi**2) + I(ndti**2) + I(bai_126**2),0.5206,0.5187,7867.0538,638.293,28.6541,5.3528,0.8546,0.0384,0.9168,,11.6142,1.0286,0.0266,1.4608,0.0508,0.2572,0.009,358.3159,1.3055,9.4234,406.7493,417.0436,0.5446,0.0155,0.5584
0,projyear,3,np.log(bm) ~ dfi + ndti + bai_136 + dfi:ndti + dfi:bai_136 + ndti:bai_136 + I(dfi**2) + I(ndti**2) + I(bai_136**2),0.5238,0.5218,7852.4847,638.8285,19.2865,5.2774,0.8553,0.0258,0.8864,,9.101,1.0266,0.022,1.4565,0.0443,0.2565,0.0078,379.7305,1.3814,9.3056,406.6549,414.8874,0.5444,0.0122,0.5555
0,projyear,3,np.log(bm) ~ dfi + ndti + bai_236 + dfi:ndti + dfi:bai_236 + ndti:bai_236 + I(dfi**2) + I(ndti**2) + I(bai_236**2),0.5463,0.5444,7746.7603,617.1801,36.4253,5.157,0.8263,0.0488,0.8965,,14.0044,0.9927,0.0172,1.4239,0.0403,0.2507,0.0071,350.7488,1.2758,9.0975,392.3336,417.6274,0.5253,0.0187,0.5591
0,projyear,3,np.log(bm) ~ dfi + ndti + bai_246 + dfi:ndti + dfi:bai_246 + ndti:bai_246 + I(dfi**2) + I(ndti**2) + I(bai_246**2),0.5234,0.5214,7854.4269,636.3707,26.1082,5.5262,0.852,0.035,0.915,,5.1098,1.0198,0.025,1.4562,0.0487,0.2564,0.0086,338.3629,1.2326,9.7274,405.535,411.569,0.5429,0.0068,0.551
